position,role,mentality,side,role_code,att_cor,att_cro,att_dri,att_fin,att_fir,att_fre,att_hea,att_lon,att_lth,att_mar,att_pas,att_pen,att_tck,att_tec,att_agg,att_ant,att_bra,att_cmp,att_cnt,att_dec,att_det,att_fla,att_ldr,att_otb,att_pos,att_tea,att_vis,att_wor,att_acc,att_agi,att_bal,att_jum,att_nat,att_pac,att_sta,att_str,att_aer,att_cmd,att_com,att_ecc,att_han,att_kic,att_1v1,att_pun,att_ref,att_tro,att_thr
goal_keeper,goal_keeper,defend,centre,gk_gk_d_c,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0.8,0.1,0.1,1,0.8,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,1,1,1,0.1,1,1,0.8,0.1,1,0.1,0.8
goal_keeper,sweeper_keeper,defend,centre,gk_sk_d_c,0,0,0,0,0.8,0,0,0,0,0,0.8,0,0,0,0.1,1,0.1,0.8,1,0.8,0.1,0.1,0.1,0.1,1,0.1,0.8,0.1,0.8,1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,1,0.8,0.1,0.8,1,1,0.1,1,0.8,0.8
goal_keeper,sweeper_keeper,support,centre,gk_sk_s_c,0,0,0,0,0.8,0,0,0,0,0,0.8,0,0,0,0.1,1,0.1,1,1,0.8,0.1,0.1,0.1,0.1,1,0.1,0.8,0.1,0.8,1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,1,0.8,0.1,0.8,1,1,0.1,1,1,0.8
goal_keeper,sweeper_keeper,attack,centre,gk_sk_a_c,0,0,0,0,0.8,0,0,0,0,0,0.8,0,0,0,0.1,1,0.1,1,1,0.8,0.1,0.1,0.1,0.1,1,0.1,0.8,0.1,0.8,1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,1,0.8,0.8,0.8,1,1,0.1,1,1,0.8
central_defender,no_nonsense_centre_back,defend,centre,cd_nncb_d_c,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,1,0.1,0.1,1,0.1,0.8,0.8,0.8,0.1,0.8,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.8,0.1,1,0,0,0,0,0,0,0,0,0,0,0
central_defender,no_nonsense_centre_back,stopper,centre,cd_nncb_s_c,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.8,0.1,0.1,1,0.1,1,0.8,1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,1,0,0,0,0,0,0,0,0,0,0,0
central_defender,no_nonsense_centre_back,cover,centre,cd_nncb_c_c,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,1,0.1,0.1,1,0.1,0.1,1,0.8,0.1,1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,1,0.1,0.8,0,0,0,0,0,0,0,0,0,0,0
central_defender,central_defender,defend,centre,cd_cd_d_c,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,1,0.1,0.1,1,0.1,0.8,0.8,0.8,0.8,0.8,0.8,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.8,0.1,1,0,0,0,0,0,0,0,0,0,0,0
central_defender,central_defender,stopper,centre,cd_cd_s_c,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.8,0.1,0.1,1,0.1,1,0.8,1,0.8,0.8,1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,1,0,0,0,0,0,0,0,0,0,0,0
central_defender,central_defender,cover,centre,cd_cd_c_c,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,1,0.1,0.1,1,0.8,0.8,1,1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,1,0.1,0.8,0,0,0,0,0,0,0,0,0,0,0
